siparis_id,tarih,urun,sehir,adet,birim_fiyat,musteri_id
1,2024-10-16,Telefon,İstanbul,3,3711.13,1144
2,2023-04-15,Yazıcı,Mersin,1,8877.86,261
3,2023-01-31,Telefon,Bursa,2,7605.06,218
4,2024-07-28,Klavye,Mersin,4,3345.59,4828
5,2023-10-12,Mikrofon,İstanbul,2,10487.18,2788
6,2023-10-12,Kulaklık,Bursa,3,1578.04,3113
7,2023-04-10,Monitör,Adana,5,4004.59,356
8,2024-04-15,Kamera,Ankara,4,1228.06,2402
9,2024-10-05,Hoparlör,Adana,5,2924.71,570
10,2023-02-16,Yazıcı,Bursa,3,14779.06,7007
11,2023-08-27,SSD Disk,Ankara,4,4205.71,5208
12,2024-01-09,Kulaklık,Adana,3,3182.13,2188
13,2024-12-19,RAM,Ankara,5,9542.93,4376
14,2023-09-08,Kulaklık,Gaziantep,4,4085.72,7581
15,2024-10-17,Webcam,Mersin,2,10284.98,6905
16,2023-02-27,Klavye,İstanbul,3,6047.41,543
17,2023-08-05,RAM,Kayseri,3,3228.77,4090
18,2024-02-10,RAM,Gaziantep,2,4009.96,2021
19,2024-07-28,Kamera,Antalya,5,6455.09,4781
20,2024-02-13,Monitör,Bursa,2,7667.42,745
21,2023-02-18,SSD Disk,Ankara,2,9430.32,6489
22,2024-11-27,Tablet,Kayseri,1,5802.27,4882
23,2024-04-24,Kamera,Antalya,5,12918.66,95
24,2024-11-27,Webcam,Ankara,5,11275.62,6297
25,2024-10-18,Monitör,Ankara,3,6549.74,3717
26,2023-01-04,Webcam,Antalya,5,11441.33,4159
27,2023-04-19,SSD Disk,Antalya,5,9154.1,1253
28,2024-01-18,Mikrofon,İzmir,5,14304.82,7557
29,2024-06-27,RAM,İstanbul,5,4896.13,160
30,2023-04-25,RAM,Adana,3,3629.81,1974
31,2024-08-03,Telefon,Ankara,4,12249.55,6231
32,2024-06-29,Mikrofon,İzmir,2,9913.27,7757
33,2024-07-16,Kulaklık,Antalya,5,13092.87,3467
34,2023-08-05,RAM,Mersin,2,10708.59,3269
35,2024-11-18,Yazıcı,Adana,4,13499.23,3699
36,2023-05-04,Klavye,Bursa,1,5104.38,4820
37,2024-07-21,Klavye,Kayseri,2,157.5,5799
38,2024-10-08,Laptop,Bursa,1,13586.03,7043
39,2023-12-05,Telefon,Mersin,2,4213.24,3977
40,2023-08-08,Kamera,İzmir,5,8664.36,1991
41,2024-04-29,Mikrofon,Konya,2,1460.17,5399
42,2024-03-17,Monitör,Konya,4,7032.02,5973
43,2023-02-25,Yazıcı,Ankara,1,6069.19,2780
44,2023-04-22,Klavye,Bursa,2,8067.47,1149
45,2024-03-08,Kulaklık,Antalya,4,3784.61,7564
46,2023-03-19,Şarj Cihazı,Mersin,1,806.3,4429
47,2023-01-16,Telefon,Bursa,2,6125.89,3944
48,2023-08-07,SSD Disk,Konya,1,2511.32,18
49,2024-02-04,Mouse,Gaziantep,3,6373.96,7843
50,2024-07-23,Yazıcı,Gaziantep,2,2888.97,1784
51,2023-03-01,Hoparlör,Mersin,1,11232.23,469
52,2023-02-21,Hoparlör,Gaziantep,5,13794.84,4351
53,2023-06-11,Laptop,Mersin,1,12777.57,562
54,2024-09-01,Telefon,Bursa,4,1842.3,7294
55,2024-08-06,Klavye,Kayseri,5,644.14,672
56,2024-03-05,Yazıcı,Kayseri,5,7865.6,7658
57,2023-09-25,Klavye,Adana,2,4020.94,1073
58,2024-11-18,Yazıcı,Antalya,4,4776.85,6160
59,2023-03-16,Laptop,Gaziantep,5,14976.89,820
60,2023-03-17,Kamera,Bursa,5,4014.75,7646
61,2023-12-24,RAM,Ankara,2,5574.43,1293
62,2024-03-24,SSD Disk,Mersin,3,9194.58,6612
63,2024-10-31,Kamera,İstanbul,5,4525.71,5435
64,2023-04-17,RAM,İzmir,3,1775.66,877
65,2024-07-20,Kulaklık,Antalya,3,9092.21,5879
66,2023-12-18,Klavye,Antalya,5,7353.55,7417
67,2023-02-22,Telefon,Konya,3,709.1,2733
68,2023-05-14,Yazıcı,Antalya,2,11131.4,4520
69,2024-12-23,Tablet,Mersin,1,1722.51,7742
70,2024-12-08,RAM,İzmir,5,588.62,3025
71,2024-08-19,Kamera,İzmir,4,1955.31,2526
72,2024-01-09,RAM,İstanbul,3,3190.64,2045
73,2024-11-13,Telefon,Adana,5,13267.81,3330
74,2024-09-27,Webcam,İzmir,2,12975.86,7998
75,2023-07-01,RAM,Konya,1,2731.44,7574
76,2023-12-07,Mikrofon,Konya,2,4038.75,6451
77,2024-12-19,Telefon,Konya,1,12885.97,1823
78,2023-07-24,SSD Disk,Gaziantep,3,4612.6,6516
79,2023-08-22,Klavye,İstanbul,2,6007.07,2283
80,2023-03-13,Mikrofon,Antalya,3,9640.15,3275
81,2024-11-26,SSD Disk,Mersin,3,14091.6,945
82,2023-09-25,Kulaklık,Kayseri,3,621.95,4888
83,2024-03-20,Monitör,Adana,4,9112.82,4190
84,2023-04-29,Tablet,Kayseri,2,3858.1,5807
85,2024-03-22,Laptop,Mersin,5,10318.51,7703
86,2024-11-17,Klavye,Adana,4,1096.11,5442
87,2023-12-05,Hoparlör,Adana,1,10810.33,2461
88,2024-06-03,Mouse,Konya,3,6065.89,2423
89,2024-07-21,Kulaklık,Bursa,4,9990.7,3106
90,2024-11-24,Webcam,İzmir,5,8558.12,3327
91,2024-07-15,SSD Disk,İstanbul,3,4339.36,3522
92,2024-08-16,Hoparlör,Adana,4,6654.7,5535
93,2023-08-07,Kamera,Gaziantep,2,9899.82,2325
94,2024-06-11,Yazıcı,Kayseri,3,1446.14,7799
95,2023-08-29,Yazıcı,Antalya,2,12108.12,1208
96,2023-01-26,Laptop,Bursa,4,9188.55,6296
97,2023-03-16,Şarj Cihazı,Konya,5,2956.81,5705
98,2024-01-29,Şarj Cihazı,Konya,2,2256.19,5634
99,2023-01-06,RAM,Ankara,4,3321.67,6588
100,2024-12-13,Kamera,Gaziantep,1,8383.22,7516
101,2023-05-05,Şarj Cihazı,İzmir,4,10030.29,4579
102,2024-09-01,Monitör,Gaziantep,5,12234.35,7308
103,2024-05-31,Tablet,Mersin,4,13463.26,6093
104,2024-05-01,Şarj Cihazı,Antalya,2,12605.95,2272
105,2024-06-17,Şarj Cihazı,Bursa,3,6626.1,5846
106,2023-10-20,Klavye,Antalya,3,4829.66,4425
107,2023-03-24,Kulaklık,İzmir,2,5776.38,1252
108,2024-12-24,Klavye,Ankara,4,6143.61,4446
109,2024-04-22,Tablet,İstanbul,2,12501.72,3191
110,2024-08-21,Webcam,İstanbul,5,5736.7,49
111,2023-12-27,Mouse,Konya,4,8096.4,6019
112,2024-07-13,Mikrofon,Kayseri,2,7349.03,2236
113,2024-03-22,Şarj Cihazı,İstanbul,4,5075.14,5564
114,2024-02-19,Webcam,İzmir,4,13797.15,5098
115,2024-06-30,Laptop,Konya,5,8487.66,223
116,2023-03-27,Yazıcı,Konya,2,13009.43,1489
117,2023-02-21,Mouse,Konya,3,3214.32,2678
118,2023-12-12,Mikrofon,Konya,3,11292.55,6816
119,2024-03-07,Mouse,Ankara,4,339.78,4419
120,2023-02-23,Monitör,Bursa,1,11729.43,5340
121,2023-02-11,Mikrofon,İstanbul,2,3030.44,167
122,2024-09-28,Kulaklık,Bursa,2,7129.74,938
123,2024-07-31,Klavye,Gaziantep,3,11515.13,1375
124,2024-09-12,Hoparlör,Ankara,2,14472.58,886
125,2024-08-15,Laptop,Antalya,5,10176.34,7850
126,2024-01-20,Tablet,Bursa,1,8901.86,6805
127,2024-10-04,Klavye,Ankara,3,12761.88,4919
128,2023-05-04,Mikrofon,Kayseri,1,5240.7,3510
129,2024-11-08,Monitör,Ankara,5,9730.77,104
130,2024-03-06,SSD Disk,Gaziantep,1,6531.17,2968
131,2024-10-12,RAM,Gaziantep,2,6560.53,6012
132,2024-06-18,Yazıcı,Antalya,5,12132.58,4409
133,2024-05-10,Şarj Cihazı,Konya,5,4062.51,6978
134,2023-09-09,SSD Disk,Ankara,3,13230.39,1998
135,2024-04-20,Hoparlör,Kayseri,4,5079.13,4050
136,2023-11-29,Kulaklık,Gaziantep,2,5354.63,2117
137,2023-12-15,Mouse,Kayseri,3,8359.08,4233
138,2023-07-15,Telefon,Bursa,4,7354.24,6211
139,2023-09-04,Webcam,Gaziantep,4,6750.21,142
140,2023-04-06,Mouse,Bursa,4,10392.22,2509
141,2024-11-10,Hoparlör,Adana,4,8324.42,2817
142,2024-03-11,Webcam,Mersin,3,5309.57,3718
143,2023-10-05,Mouse,Antalya,2,1853.81,1578
144,2023-11-20,Telefon,Mersin,2,2913.54,6051
145,2024-05-10,Mouse,Kayseri,5,8972.02,824
146,2023-07-18,Mouse,Bursa,3,2732.65,116
147,2024-12-26,Kamera,İzmir,3,730.46,447
148,2024-07-20,Mouse,İzmir,4,1583.69,101
149,2024-08-10,Mouse,Gaziantep,4,6635.01,1511
150,2023-02-22,Mouse,Gaziantep,1,12340.63,3283
151,2024-05-18,Telefon,Kayseri,1,2318.32,6645
152,2024-07-30,Mouse,Ankara,2,1820.85,6263
153,2024-03-02,Hoparlör,Kayseri,5,3424.02,4281
154,2024-01-25,Şarj Cihazı,Gaziantep,3,12909.49,3513
